Vendor,Operator,Latitude,Longitude,State,Fuel_Type
Ames Substation,Pacific Gas and Electric Company,37.4178138,-122.0671333,CA,electric
Selma Substation,Alabama Power,32.422415,-87.0680524,AL,electric
Bremen Primary Substation,Georgia Power,33.7092039,-85.1426996,GA,electric
Siegfried Substation,PPL,40.7127747,-75.5180308,PA,electric
Halliday Substation,Montana-Dakota Utilities,47.3429232,-102.3341273,ND,electric
Tyndall Substation,East River Electric Power Cooperative,43.0034814,-97.8904018,SD,electric
Arlington Substation,East River Electric Power,44.4996914,-97.0171158,SD,electric
Wall Substation,West River Electric Association,44.0827908,-102.2274482,SD,electric
Midland Substation,Western Area Power Administration,44.0823908,-101.1346998,SD,electric
Scull Substation,Atlantic City Electric,39.323272,-74.6486428,NJ,electric
Aurora Substation,Western Area Power Administration,44.29601,-96.657142,SD,electric
Rouse Substation,Evergy,37.4406417,-94.6846738,KS,electric
Harmony Substation,Cherry Todd Electric Cooperative,42.9539422,-100.5152587,NE,electric
Luling Magnolia Substation,Lower Colorado River Authority,29.7210216,-97.7256368,TX,electric
Freestone Tap,Oncor,31.5491722,-96.2417061,TX,electric
Waelder Substation,Lower Colorado River Authority,29.6789833,-97.3008957,TX,electric
Darst Creek Substation,American Electric Power,29.5850567,-97.7784748,TX,electric
Galena Park Substation,CenterPoint Energy,29.7458394,-95.2308209,TX,electric
Drouet Substation,CenterPoint Energy,29.6671513,-95.2830384,TX,electric
Utopia Substation,Bandera Electric Cooperative,29.6461984,-99.5217823,TX,electric
Leakey Substation,Bandera Electric Cooperative,29.6810774,-99.7619179,TX,electric
Tarpley Substation,Bandera Electric Cooperative,29.6653565,-99.2747469,TX,electric
Sibley Substation,ITC,43.3965987,-95.7500759,IA,electric
Akron Substation,Western Area Power Administration,40.1473796,-103.2108887,CO,electric
Otis Substation,Y-W Electric,40.1484829,-102.8897755,CO,electric
Cromwell Substation,Great River Energy,46.5883496,-92.88761,MN,electric
Woonsocket Substation,Rhode Island Energy,41.9795524,-71.5229336,RI,electric
Shandaken Substation,NYSEG,42.1209803,-74.3934466,NY,electric
Olsen Substation,Texas-New Mexico Power,31.7767374,-97.5642983,TX,electric
Wellington Substation,Golden Spread Electric Cooperative,34.8632709,-100.211291,TX,electric
Shamrock Substation,Southwestern Electric Power Company,34.853864,-100.2096328,TX,electric
Friend Ranch Substation,American Electric Power,30.708033,-101.1431002,TX,electric
