Fuel_Type_Code,Station_Name,Street_Address,City,State,ZIP,Plus4,Country,Status_Code,Station_Phone,Expected_Date,Access_Code,Latitude,Longitude,ID
CNG,OnCue #122,1000 N Czech Hall Rd,Yukon,OK,73099,,US,E,405-324-2083,,private,35.478088,-97.741089,69158
ELEC,Casey's #3538 - Le Roy,417 S Chestnut St,Le Roy,IL,61752,,US,E,800-489-1588,,private,40.3431204,-88.7611618,330023
ELEC,"Burley, ID",240 East 5th Street North,Burley,ID,83318,,US,E,866-576-1495,,private,42.561533,-113.789738,391113
CNG,Oklahoma Natural Gas - Sapulpa Service Center,410 S Hawthorne St,Sapulpa,OK,74066,,US,E,918-671-5852,,public,35.993424,-96.127984,12786
ELEC,Dileo Gas Propane,630 Sunderland Rd,Worcester,MA,1604,,US,E,508-797-5878,,public,42.24229,-71.74266,260834
CNG,Tri-Gas,13255 Augustine Herman Hwy,Galena,MD,21635,,US,E,410-648-5856,,private,39.339764,-75.887832,49107
ELEC,Wawa Plainfield #8464,1470 South Ave,Plainfield,NJ,7062,,US,P,877-455-3833,2025-01-01,public,40.63457,-74.392739,373108
ELEC,Pilot Travel Center 302,6955 Theodore Dawes Road,Theodore,AL,36582,,US,P,877-455-3833,2025-01-02,private,30.55941,-88.205244,388326
ELEC,"Fortuna, CA",735 South Fortuna Boulevard,Fortuna,CA,95540,,US,P,866-576-1495,2025-01-03,private,40.58278,-124.14655,391161
ELEC,"Walmart 3423 - Santa Fe, NM",5701 Herrera Dr,Santa Fe,NM,87507,,US,E,833-632-2778,,public,35.61839,-106.03192,122651
CNG,Clean Energy - Centre County Recycling & Refuse Authority,100 Transfer Rd,Bellefonte,PA,16823,,US,P,866-809-4869,2025-01-04,public,40.838387,-77.787831,65538
ELEC,"Regency Twin Oaks SC (Agoura Hills, CA)",5727-5825 Kanan Rd,Agoura Hills,CA,91301,,US,E,833-632-2778,,private,34.1546,-118.75711,279333
ELEC,"Walmart 965 - Tomah, WI",222 W McCoy Blvd,Tomah,WI,54660,,US,E,833-632-2778,,private,44.01925,-90.50856,122809
ELEC,"Henderson, NC",1520 Dabney Dr.,Henderson,NC,27536,,US,P,866-576-1495,2025-01-05,private,36.3344838,-78.43552,391195
CNG,Pendleton Oil & Gas Co,793 NM Highway 518,Mora,NM,87732,,US,E,575-387-2868,,private,35.98519589,-105.3634922,47249
ELEC,Hudson Foods – Bronson,399 N Hathaway Ave,Bronson,FL,32621,,US,E,866-816-7584,,private,29.447285,-82.642647,308261
ELEC,Dunkin',9170 W State Rd 84,Davie,FL,33324,,US,E,833-919-0939,,private,26.10335779,-80.27103034,420618
ELEC,5810 Sepulveda,5810 Sepulveda Blvd,Van Nuys,CA,91411,,US,P,877-455-3833,2025-01-06,private,34.17589,-118.46528,323559
ELEC,Jack River Properties - Tesla Supercharger,Mile 209.9 Parks Hwy,Cantwell,AK,99729,,US,E,877-798-3752,,public,63.38746025,-148.9046678,440445
ELEC,Chase Bank - 4653 W Higgins Road,4653 W Higgins Rd,Hoffman Estates,IL,60192,,US,E,877-455-3833,,private,42.07482,-88.19281,316919
CNG,US Energy - Kissimmee,1907 S Poinciana Blvd,Kissimmee,FL,34758,,US,E,800-438-7912,,public,28.248652,-81.486722,67071
CNG,US Energy - American Fueling Systems,4420 Buford Hwy NE,Chamblee,GA,30341,,US,E,770-399-7800,,public,33.873935,-84.297481,43705
CNG,Trillium - San Jose Junction,2265 Junction Ave,San Clara,CA,95131,,US,E,800-920-1166,,public,37.386235,-121.917452,60258
ELEC,"Columbine Knolls Village (Littleton, CO)",8156 S Wadsworth Blvd,Littleton,CO,80128,,US,E,833-632-2778,,private,39.56754,-105.0804,279370
CNG,Chevron CNG Station 387949,4200 Duncanville Rd,Dallas,TX,75236,,US,E,877-872-3966,,public,32.69371,-96.9102,63277
ELEC,Pilot Travel Center 454,1365 Sr 42 Ne,London,OH,43140,,US,P,877-455-3833,2025-01-07,public,39.958751,-83.370175,322368
CNG,CNG Source Fueling,7005 Brookville Rd,Indianapolis,IN,46239,,US,P,317-353-8241,2025-01-08,private,39.754424,-86.047376,51878
ELEC,Stewart's Shops - Tesla Supercharger,2951  U.S. 9,Ballston Spa,NY,12020,,US,E,877-798-3752,,public,43.026183,-73.791391,201679
ELEC,Flying J,1530 Rest Church Rd,Clear Brook,VA,22624,,US,E,540-678-3641,,private,39.290213,-78.087058,64841
ELEC,Love's 178-Chandler,179 Turner Turnpike,Stroud,OK,74079,,US,E,800-489-1588,,private,35.726756,-96.83516,156602
CNG,City of Riverside,5961 Acorn St,Riverside,CA,92504,,US,E,951-351-6157,,public,33.96068,-117.454372,32831
ELEC,Premier Co-op,210 W Main St,La Farge,WI,54639,,US,E,608-625-2324,,private,43.574577,-90.637717,147099
ELEC,West Villages Ace Hardware Propane Filling,12236 Mercado Dr,Venice,FL,34293,,US,E,"941-220-7424, #2 for West Villages",,private,27.0488,-82.32317,350203
ELEC,Alliance AutoGas - Seattle Co,10802 E Marginal Way,Tukwila,WA,98168,,US,P,833-425-8782,2025-01-09,public,47.506317,-122.289984,41886
CNG,Whites Magneto,1413 E Wise St,Bowie,TX,76230,,US,E,940-872-2331,,private,33.551185,-97.835833,20105
ELEC,Twin Pine Ford,12 Long Avenue,Ephrata,PA,17522,,US,E,888-998-2546,,public,40.204744938270856,-76.15551741707058,326519
CNG,49er Travel Plaza,2828 El Centro Rd,Sacramento,CA,95833,,US,E,916-927-4774,,public,38.617005,-121.538165,43554
ELEC,"Daytona Beach, FL Rechargery @ Wawa - W International Speedway Blvd",1900 W International Speedway Blvd,Daytona Beach,FL,32114,,US,E,833-466-2474,,public,29.191658,-81.073241,417781
ELEC,"Meijer 223 (Cincinnati, OH)",6520 Harrison Ave,Cincinnati,OH,45247,,US,E,833-632-2778,,private,39.1942,-84.6586,316277
ELEC,"Kroger-Fred Meyer 255 (Portland, OR)",6850 N Lombard St,Portland,OR,97203,,US,E,833-632-2778,,private,45.58512,-122.73873,206716
ELEC,Toms Ford,200 NJ-35,Keyport,NJ,7735,,US,P,888-357-1009,2025-01-10,private,40.424423,-74.200214,390490
ELEC,"Regency Twin Oaks SC (Agoura Hills, CA)",5727-5825 Kanan Rd,Agoura Hills,CA,91301,,US,E,833-632-2778,,private,34.1546,-118.75711,279333
CNG,"Memphis Light, Gas and Water - North Center",1130 Tupelo St,Memphis,TN,38108,,US,E,901-320-1062  901-320-1473,,public,35.166531,-89.972823,1215
CNG,Nopetro,1152 Capital Cir SW,Tallahassee,FL,32304,,US,E,305-441-9059,,private,30.437825,-84.354335,47236
CNG,Alternative Vehicle Service Group - Concord,20 Broken Bridge Rd,Concord,NH,3301,,US,E,617-242-8755,,private,43.182787,-71.495001,87706
ELEC,Yosemite Westgate Lodge/Buck Meadows Lodge,7649 CA-120,Groveland,CA,95321,,US,E,833-632-2778,,public,37.81756,-120.05887,192748
